Date,Leírás,Terhelés,Jóváírás,Al-kategória,Kategória,Kategória Típus,Hónap Száma,Hét napja,Összeg
1/4/21,Data With Decision,,5000.0,Fizetés,Jövedelem,Bevétel,1,Mon,5000.0
1/4/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Mon,-5.0
1/5/21,Estate Mangement,900.0,,Lakásfenntartás,Háztartás,Kiadás,1,Tue,-900.0
1/5/21,Financail upgrade,150.0,,Egyéb Közlekedés,Közlekedés,Kiadás,1,Tue,-150.0
1/5/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Tue,-5.0
1/6/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Wed,-5.0
1/7/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Thu,-5.0
1/8/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Fri,-5.0
1/8/21,Green's,155.0,,Konyhai alap,Háztartás,Kiadás,1,Fri,-155.0
1/11/21,Power source,50.0,,Rezsi,Háztartás,Kiadás,1,Mon,-50.0
1/11/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Mon,-5.0
1/12/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Tue,-5.0
1/13/21,Fuel,77.0,,Kávé,Élelmiszer,Kiadás,1,Wed,-77.0
1/13/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Wed,-5.0
1/14/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Thu,-5.0
1/15/21,Green's,135.0,,Konyhai alap,Háztartás,Kiadás,1,Fri,-135.0
1/15/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Fri,-5.0
1/16/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Sat,-5.0
1/16/21,Cinemas,40.0,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,1,Sat,-40.0
1/16/21,Fashionistas,98.0,,Ruházat,Egyéb / Diszkrét,Kiadás,1,Sat,-98.0
1/16/21,Burger,52.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,1,Sat,-52.0
1/17/21,Uba,28.0,,Taxi,Közlekedés,Kiadás,1,Sun,-28.0
1/18/21,Onlne earning,,4500.0,Egyéb Bevétel,Jövedelem,Bevétel,1,Mon,4500.0
1/18/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Mon,-5.0
1/19/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Tue,-5.0
1/19/21,Onlne earning,,4500.0,Egyéb Bevétel,Jövedelem,Bevétel,1,Tue,4500.0
1/19/21,Phone,40.0,,Szolgáltatások / Rezsi,Háztartás,Kiadás,1,Tue,-40.0
1/20/21,Sallah give away,45.0,,Ajándékok,Egyéb / Diszkrét,Kiadás,1,Wed,-45.0
1/20/21,Online streaming,32.0,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,1,Wed,-32.0
1/20/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Wed,-5.0
1/21/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Thu,-5.0
1/22/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Fri,-5.0
1/22/21,Green's,170.0,,Konyhai alap,Háztartás,Kiadás,1,Fri,-170.0
1/23/21,Suya,37.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,1,Sat,-37.0
1/24/21,Oha soup/White soup,12.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,1,Sun,-12.0
1/25/21,Orphanage,55.0,,Adomány,Egyéb / Diszkrét,Kiadás,1,Mon,-55.0
1/25/21,Fuel,63.0,,Üzemanyag,Közlekedés,Kiadás,1,Mon,-63.0
1/25/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Mon,-5.0
1/26/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Tue,-5.0
1/27/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Wed,-5.0
1/28/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Thu,-5.0
1/29/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,1,Fri,-5.0
1/29/21,Green's,162.0,,Konyhai alap,Háztartás,Kiadás,1,Fri,-162.0
1/30/21,Trainers,125.0,,Ruházat,Egyéb / Diszkrét,Kiadás,1,Sat,-125.0
1/30/21,Hangingout/Ticket,175.0,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,1,Sat,-175.0
1/31/21,Fashionistas,145.0,,Ruházat,Egyéb / Diszkrét,Kiadás,1,Sun,-145.0
1/31/21,Uba,23.0,,Taxi,Közlekedés,Kiadás,1,Sun,-23.0
2/1/21,Data With Decision,,5000.0,Fizetés,Jövedelem,Bevétel,2,Mon,5000.0
2/1/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Mon,-5.0
2/2/21,Estate Mangement,900.0,,Lakásfenntartás,Háztartás,Kiadás,2,Tue,-900.0
2/2/21,Financail upgrade,150.0,,Egyéb Közlekedés,Közlekedés,Kiadás,2,Tue,-150.0
2/2/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Tue,-5.0
2/3/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Wed,-5.0
2/4/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Thu,-5.0
2/5/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Fri,-5.0
2/5/21,Green's,205.0,,Konyhai alap,Háztartás,Kiadás,2,Fri,-205.0
2/8/21,Power source,51.1,,Rezsi,Háztartás,Kiadás,2,Mon,-51.1
2/8/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Mon,-5.0
